list_id,ticker,company_name,meeting_date,continue_accumulation_date,stop_buy_price,sell_target_price,row_order,stock_id,target_profit_percent,notes
TL17707994538289610,POW,Tổng công ty điện lực Dầu khí Việt Nam,1/8/2026,,11800,12200,35,TS17707994575057672,null,null
TL17707994538289610,PTB,Công ty Cổ phần Phú Tài,null,,56700,60800,36,TS17707994575054807,null,null
TL17707994538289610,REE,Công ty Cổ phần Cơ điện lạnh,6/5/2025,1/1/2026,69000,73000,37,TS17707994575057867,null,null
TL17707994538289610,TDM,Công ty cổ phần Nước Thủ Dầu Một,10/1/2023,,46000,49000,38,TS17707994575059174,null,null
TL17707994538289610,VCS,Công ty Cổ phần VICOSTONE,6/1/2024,1/7/2024,55000,59000,39,TS17707994575057954,null,null
TL17707994538289610,HDG,CTCP Tập đoàn Hà Đô,14/8/2025,1/1/2026,32000,35000,40,TS17707994575059533,null,null
TL17707994538289610,VSC,Công ty Cổ phần Tập đoàn Container Việt Nam,22/7/2025,,20000,22000,41,TS17707994575055489,null,null
TL17707994538289610,QNS,Công ty Cổ phần Đường Quảng Ngãi,null,,54000,58000,42,TS17707994575053341,null,null
TL17707994538289610,PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khi Việt Nam,1/8/2026,,35000,38000,43,TS17707994575053854,null,null
TL17707994538289610,BMP,Công ty Có phần nhựa Bình Minh,9/12/2024,,129000,136000,44,TS17707994575057158,null,null
TL17707994538289610,GAS,Tổng công ty khi Việt Nam,1/7/2026,,84200,87300,45,TS177079945750595,null,null
TL17707994538289610,HND,Công ty Cổ phần Nhiệt điện Hải Phòng,null,,14300,15000,46,TS17707994575054403,null,null
TL17707994538289610,NT2,Công ty Cổ phần Điện lực Dầu khi Nhơn Trạch 2,2/1/2023,1/10/2023,25000,27000,47,TS17707994575054214,null,null
TL17707994538289610,PLX,Tập đoàn Xăng dầu Việt Nam,15/1/2026,,48000,51300,48,TS17707994575054005,null,null
TL17707994538289610,PVT,Tổng công ty Cổ phần Vận tải Dầu khí,13/5/2024,1/4/2025,21000,23000,49,TS17707994575055657,null,null
TL17707994538289610,QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,7/1/2023,1/8/2023,14300,14900,50,TS17707994575054161,null,null
TL17707994538289610,VEA,Tổng Cty Máy động lực và Máy nông nghiệp VN,null,1/2/2026,38000,40000,51,TS17707994575056371,null,null
TL17707994538289610,VNM,CTCP Sữa Việt Nam,19/8/2024,1/10/2024,73000,76000,52,TS17707994575053805,null,null
TL17707994538289610,IDC,Tổng công ty IDICO - CTCP,20/1/2026,,43000,46000,53,TS17707994575059181,null,null
TL17707994538289610,DCM,Công ty Cổ phần Phân bón Dầu khi Cà Mau,23/1/2026,,36000,38000,54,TS17707994575057170,null,null
TL17707994538289610,DPM,Tổng Công ty Phân bón và Hoá chất Dầu khí - CTCP,22/1/2026,,24600,25700,55,TS17707994575055094,null,null
TL17707994538289610,SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,null,,73000,76000,56,TS17707994575055280,null,null
